ROIs,mean_accuracies,p_values,CI_lower,CI_higher,permutation_chance,target_decode
V1,0.8881578947368421,0.01098901098901099,0.8330725670243497,0.9432432224493346,0.7006578947368421,lr
V2,0.8914473684210527,0.01098901098901099,0.8323182788012413,0.950576458040864,0.7006578947368421,lr
V3,0.9210526315789473,0.000999000999000999,0.8690288328610583,0.9730764302968364,0.7006578947368421,lr
V3b,0.8947368421052632,0.000999000999000999,0.842535789726576,0.9469378944839504,0.6973684210526315,lr
hV4,0.8355263157894737,0.01098901098901099,0.778383325981185,0.8926693055977624,0.6973684210526315,lr
LO1,0.8355263157894737,0.01098901098901099,0.7848972697692671,0.8861553618096802,0.6973684210526315,lr
LO2,0.7894736842105263,0.01098901098901099,0.7115416290760304,0.8674057393450223,0.6973684210526315,lr
VO1,0.8519736842105263,0.01098901098901099,0.7869306205043408,0.9170167479167118,0.6973684210526315,lr
VO2,0.8881578947368421,0.01098901098901099,0.8307327156083847,0.9455830738652996,0.6973684210526315,lr
V3a,0.8618421052631579,0.000999000999000999,0.7871479328418378,0.9365362776844779,0.680921052631579,lr
hMT,0.7401315789473685,0.01098901098901099,0.6717650534399324,0.8084981044548045,0.680921052631579,lr
MST,0.6447368421052632,0.07592407592407592,0.5739800893164806,0.7154935948940457,0.680921052631579,lr
SPL1,0.7598684210526315,0.01098901098901099,0.6819067395893199,0.8378301025159431,0.6710526315789473,lr
IPS_posterior,0.8848684210526315,0.000999000999000999,0.822545004877564,0.9471918372276991,0.6710526315789473,lr
IPS_anterior,0.7960526315789473,0.01098901098901099,0.7254265469585333,0.8666787161993614,0.6710526315789473,lr
